1.998616 0.071974 0.069464 
1.945459 0.071905 0.074713 
1.892343 0.071836 0.109582 
1.839308 0.071767 0.194920 
1.786393 0.071698 0.336627 
1.733640 0.071630 0.523910 
1.681088 0.071561 0.732478 
1.628777 0.071493 0.931736 
1.576747 0.071425 1.093847 
1.525037 0.071358 1.201974 
1.473687 0.071291 1.255269 
1.422735 0.071225 1.269124 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
1.892343 0.071836 0.109582 
1.839308 0.071767 0.194920 
1.786393 0.071698 0.336627 
1.733640 0.071630 0.523910 
1.681088 0.071561 0.732478 
1.628777 0.071493 0.931736 
1.576747 0.071425 1.093847 
1.525037 0.071358 1.201974 
1.473687 0.071291 1.255269 
1.422735 0.071225 1.269124 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.223684 0.070966 1.473511 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
0.988371 0.070660 2.365641 
0.943470 0.070601 2.439877 
1.786393 0.071698 0.336627 
1.733640 0.071630 0.523910 
1.681088 0.071561 0.732478 
1.628777 0.071493 0.931736 
1.576747 0.071425 1.093847 
1.525037 0.071358 1.201974 
1.473687 0.071291 1.255269 
1.422735 0.071225 1.269124 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.223684 0.070966 1.473511 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
0.988371 0.070660 2.365641 
0.943470 0.070601 2.439877 
0.899370 0.070544 2.466762 
0.856104 0.070488 2.469507 
1.681088 0.071561 0.732478 
1.628777 0.071493 0.931736 
1.576747 0.071425 1.093847 
1.525037 0.071358 1.201974 
1.473687 0.071291 1.255269 
1.422735 0.071225 1.269124 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.223684 0.070966 1.473511 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
1.034040 0.070719 2.234863 
0.988371 0.070660 2.365641 
0.943470 0.070601 2.439877 
0.899370 0.070544 2.466762 
1.576747 0.071425 1.093847 
1.525037 0.071358 1.201974 
1.473687 0.071291 1.255269 
1.422735 0.071225 1.269124 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.223684 0.070966 1.473511 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
1.034040 0.070719 2.234863 
0.988371 0.070660 2.365641 
0.943470 0.070601 2.439877 
0.899370 0.070544 2.466762 
0.856104 0.070488 2.469507 
0.813706 0.070432 2.478474 
0.731641 0.070326 2.618863 
0.692037 0.070274 2.771056 
1.473687 0.071291 1.255269 
1.422735 0.071225 1.269124 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.223684 0.070966 1.473511 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
1.034040 0.070719 2.234863 
0.988371 0.070660 2.365641 
0.943470 0.070601 2.439877 
0.692037 0.070274 2.771056 
0.653424 0.070224 2.964864 
1.372221 0.071159 1.270609 
1.322183 0.071094 1.290460 
1.272658 0.071030 1.353972 
1.223684 0.070966 1.473511 
1.175299 0.070903 1.644849 
1.127539 0.070841 1.848417 
1.080441 0.070780 2.055100 
